id,truckstop_id,truckstop_name,address,city,state,rack_id,retail_price,latitude,longitude
2,9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.287,43.978526,-90.51355
5,28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.372017,-94.386
6,35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.78096,-74.385611
7,36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.743242,-78.646498
8,44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.82639,-97.606035
9,46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,45.638409,-122.5308
10,49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.959251,-85.888222
11,50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.726,41.230526,-95.838091
12,56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.516,46.301726,-98.949425
13,75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.486987,-107.868585
14,77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.555203,-75.568254
16,81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,27.526708,-82.52277
17,85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,39.76471,-105.60028
18,91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,135,3.499,5.679674,-0.173201
19,105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,43.37888,-83.89361
25,118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,35.354882,-109.052124
26,121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,32.778688,-111.596545
27,127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,37.884075,-87.56224
28,128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,41.791171,-87.586713
31,135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,41.464864,-90.036814
34,147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,33.03251,-116.883798
36,151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.132,40.930235,-100.100822
37,159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.369914,-81.660992
39,160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.232,30.469044,-90.960085
40,164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,41.579279,-87.25305
